stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,delay_register_active,offset_correction_active_codes,gain_correction_active,active_polarity,primary_valid,primary_rejection_reason,raw_phase_difference_rad,polarity_hypothesis,applied_phase_adjustment_rad,corrected_phase_difference_rad,measured_skew_samples,measured_skew_ps,tone_A_frequency_hz,tone_B_frequency_hz,tone_A_amplitude,tone_B_amplitude,tone_A_correlation,tone_B_correlation,tone_A_rmse,tone_B_rmse,dither_A_valid,dither_B_valid,dither_skew_valid,dither_skew_samples,dither_skew_ps,tone_dither_disagreement_samples,tone_dither_disagreement_ps,tone_A_sndr_db,tone_A_enob_bits,tone_B_sndr_db,tone_B_enob_bits,dither_reason,dither_rising_skew_ps,dither_falling_skew_ps,dither_edge_disagreement_ps
skew,actuator_characterization_after,0,3,3,583,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.060951,-1,-3.141593,-0.080642,-0.055733,-42.871276,299374997.703021,299374997.703021,570.967305,573.486089,0.999961,0.999953,3.546517,3.918070,1,1,0,nan,nan,nan,nan,41.125884,6.539183,40.298713,6.401780,edge estimates disagree,476.979795,-745.711953,1222.691748,
skew,actuator_characterization_after,0,3,4,584,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.066486,-1,-3.141593,-0.075107,-0.051907,-39.928740,299374997.703021,299374997.703021,568.669523,574.853445,0.999970,0.999971,3.113303,3.101532,1,1,0,nan,nan,nan,nan,42.222471,6.721341,42.349318,6.742412,skew outside supported linear range,-873.385032,544.333954,1417.718986,
skew,actuator_characterization_after,0,3,5,585,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.073594,-1,-3.141593,-0.067998,-0.046994,-36.149490,299374997.703021,299374997.703021,561.159746,578.078283,0.999969,0.999968,3.136545,3.278716,1,1,0,nan,nan,nan,nan,42.042401,6.691429,41.915356,6.670325,skew outside supported linear range,-502.961850,84.085646,587.047496,
skew,actuator_characterization_after,0,3,6,586,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.052065,-1,-3.141593,-0.089527,-0.061873,-47.594947,299374997.703021,299374997.703021,573.441507,571.650618,0.999946,0.999955,4.211743,3.834365,1,1,0,nan,nan,nan,nan,39.670245,6.297383,40.458444,6.428313,edge estimates disagree,64.800112,-0.479408,65.279520,
skew,actuator_characterization_after,0,3,7,587,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.072258,-1,-3.141593,-0.069335,-0.047918,-36.860088,299374997.703021,299374997.703021,565.403668,576.592805,0.999967,0.999970,3.232953,3.173349,1,1,0,nan,nan,nan,nan,41.844884,6.658619,42.176727,6.713742,skew outside supported linear range,1025.655655,-415.237034,1440.892688,
skew,actuator_characterization_after,0,3,8,588,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.068113,-1,-3.141593,-0.073480,-0.050783,-39.063573,299374997.703021,299374997.703021,568.116698,575.245110,0.999959,0.999955,3.628520,3.867208,1,1,0,nan,nan,nan,nan,40.883862,6.498980,40.438809,6.425051,edge estimates disagree,144.882257,-445.065333,589.947590,
skew,actuator_characterization_after,0,3,9,589,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.073407,-1,-3.141593,-0.068186,-0.047124,-36.249261,299374997.703021,299374997.703021,563.762552,576.955878,0.999956,0.999959,3.746334,3.698641,1,1,0,nan,nan,nan,nan,40.539495,6.441777,40.851709,6.493639,edge estimates disagree,97.735012,-44.303066,142.038078,
skew,actuator_characterization_after,0,3,10,590,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,25,-9.716521,1.004061,1.000000,1,none,3.060578,-1,-3.141593,-0.081014,-0.055990,-43.069095,299374997.703021,299374997.703021,571.091750,573.538302,0.999969,0.999970,3.183301,3.161161,1,1,0,nan,nan,nan,nan,42.066265,6.695393,42.164015,6.711630,edge estimates disagree,1420.926303,-1030.010838,2450.937141,
skew,actuator_characterization_baseline,0,4,1,591,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.059154,-1,-3.141593,-0.082438,-0.056974,-43.826268,299374997.703021,299374997.703021,563.003926,575.153142,0.999968,0.999972,3.205816,3.050953,1,1,0,nan,nan,nan,nan,41.881157,6.664644,42.496661,6.766887,skew outside supported linear range,1520.335694,-655.703527,2176.039221,
skew,actuator_characterization_baseline,0,4,2,592,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,24,-9.716521,1.004061,1.000000,1,none,3.057726,-1,-3.141593,-0.083866,-0.057961,-44.585269,299374997.703021,299374997.703021,556.737816,577.689393,0.999964,0.999969,3.345433,3.211800,1,1,0,nan,nan,nan,nan,41.413668,6.586988,42.088618,6.699106,edge estimates disagree,109.886827,-322.537519,432.424346,
