stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_offset_residual_codes,fit_offset_codes,correlation,rmse_codes,filtered_residual_at_iteration_start,tolerance_codes,sndr_db,enob_bits
offset,calibration,3,3,7,107,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,2.041756,2.038324,0.999498,12.538415,-3.643461,1.000000,42.511147,6.769294,
offset,calibration,3,3,8,108,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,8.509256,8.500962,0.998573,20.519733,-3.643461,1.000000,42.361946,6.744510,
offset,calibration,3,3,9,109,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,-1.506994,-1.514400,0.998836,18.634459,-3.643461,1.000000,42.879086,6.830413,
offset,calibration,3,3,10,110,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,3.359256,3.359855,0.999819,7.722403,-3.643461,1.000000,42.435532,6.756733,
offset,calibration,3,3,11,111,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,-7.068244,-7.070234,0.999820,7.568406,-3.643461,1.000000,43.053772,6.859431,
offset,calibration,3,3,12,112,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,0.079256,0.076760,0.999791,8.137128,-3.643461,1.000000,42.400993,6.750996,
offset,calibration,3,3,13,113,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,-0.443244,-0.441301,0.999922,5.094707,-3.643461,1.000000,42.734871,6.806457,
offset,calibration,3,3,14,114,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,1.001756,1.001003,0.999845,7.094203,-3.643461,1.000000,42.656597,6.793455,
offset,calibration,3,3,15,115,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,-8.728244,-8.730967,0.999784,8.255852,-3.643461,1.000000,41.728439,6.639276,
offset,calibration,3,3,16,116,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,-1.134494,-1.143485,0.998840,18.412889,-3.643461,1.000000,42.006905,6.685533,
offset,calibration,3,3,17,117,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,3.223006,3.220705,0.999656,10.458104,-3.643461,1.000000,42.522129,6.771118,
offset,calibration,3,3,18,118,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,5.364256,5.360694,0.999371,14.027129,-3.643461,1.000000,43.123573,6.871026,
offset,calibration,3,3,19,119,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,-6.261994,-6.267152,0.999516,12.185375,-3.643461,1.000000,42.908798,6.835349,
offset,calibration,3,3,20,120,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,8.216756,8.218315,0.999946,4.230435,-3.643461,1.000000,42.605442,6.784957,
offset,calibration,3,3,21,121,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,-2.779494,-2.792679,0.997866,24.320570,-3.643461,1.000000,42.347790,6.742158,
offset,calibration,3,3,22,122,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,0.618006,0.611624,0.999366,13.834146,-3.643461,1.000000,42.755573,6.809896,
offset,calibration,3,3,23,123,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,8.504256,8.499985,0.999676,10.025780,-3.643461,1.000000,43.075253,6.862999,
offset,calibration,3,3,24,124,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,2.543006,2.536570,0.999179,15.742387,-3.643461,1.000000,41.770432,6.646251,
offset,calibration,3,3,25,125,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,-2.866994,-2.876547,0.998450,21.215630,-3.643461,1.000000,41.785721,6.648791,
offset,calibration,3,3,26,126,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,4.591756,4.581081,0.998385,21.499708,-3.643461,1.000000,41.846130,6.658826,
offset,calibration,3,3,27,127,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,-6.280744,-6.281703,0.999845,7.078764,-3.643461,1.000000,42.578785,6.780529,
offset,calibration,3,3,28,128,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,3.566756,3.558917,0.998948,17.665384,-3.643461,1.000000,42.556496,6.776827,
offset,calibration,3,3,29,129,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,-6.991994,-6.992931,0.999890,5.958890,-3.643461,1.000000,41.821590,6.654749,
offset,calibration,3,3,30,130,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.775211,1.000000,nan,1.000000,3.629256,3.626970,0.999814,7.686608,-3.643461,1.000000,42.987747,6.848463,
offset,calibration,4,4,1,131,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-11.540744,-11.553940,0.997854,24.386650,-2.182041,1.000000,42.644711,6.791481,
offset,calibration,4,4,2,132,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,3.249256,3.248405,0.999822,7.595703,-2.182041,1.000000,42.164871,6.711773,
offset,calibration,4,4,3,133,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-0.651994,-0.661582,0.998338,21.966856,-2.182041,1.000000,41.720905,6.638024,
offset,calibration,4,4,4,134,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-8.033244,-8.037665,0.999535,11.990815,-2.182041,1.000000,42.881645,6.830838,
offset,calibration,4,4,5,135,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,2.961756,2.961483,0.999927,4.864888,-2.182041,1.000000,41.627651,6.622534,
offset,calibration,4,4,6,136,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-7.571994,-7.572740,0.999941,4.357440,-2.182041,1.000000,43.411480,6.918851,
offset,calibration,4,4,7,137,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-9.623244,-9.624619,0.999931,4.723164,-2.182041,1.000000,43.518852,6.936687,
offset,calibration,4,4,8,138,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,2.691756,2.691476,0.999851,6.967803,-2.182041,1.000000,43.502193,6.933919,
offset,calibration,4,4,9,139,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-7.589494,-7.588884,0.999828,7.521654,-2.182041,1.000000,43.590004,6.948506,
offset,calibration,4,4,10,140,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,4.370506,4.370776,0.999907,5.516791,-2.182041,1.000000,42.572018,6.779405,
offset,calibration,4,4,11,141,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,0.615506,0.607294,0.998463,21.307873,-2.182041,1.000000,41.507339,6.602549,
offset,calibration,4,4,12,142,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-1.213244,-1.222121,0.998481,21.093605,-2.182041,1.000000,43.111130,6.868959,
offset,calibration,4,4,13,143,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-3.569494,-3.569598,0.999920,5.104458,-2.182041,1.000000,43.140324,6.873808,
offset,calibration,4,4,14,144,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-16.079494,-16.090750,0.998144,22.966597,-2.182041,1.000000,42.565823,6.778376,
offset,calibration,4,4,15,145,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-0.055744,-0.053454,0.999941,4.453528,-2.182041,1.000000,43.149548,6.875340,
offset,calibration,4,4,16,146,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-4.654494,-4.657390,0.999801,7.926940,-2.182041,1.000000,42.019707,6.687659,
offset,calibration,4,4,17,147,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,8.139256,8.137460,0.999572,11.695327,-2.182041,1.000000,41.814396,6.653554,
offset,calibration,4,4,18,148,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,2.434256,2.434715,0.999760,8.883974,-2.182041,1.000000,43.260220,6.893724,
offset,calibration,4,4,19,149,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-11.835744,-11.832956,0.999886,6.208527,-2.182041,1.000000,42.832233,6.822630,
offset,calibration,4,4,20,150,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-0.846994,-0.854513,0.999015,17.129818,-2.182041,1.000000,43.709389,6.968338,
offset,calibration,4,4,21,151,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,5.964256,5.961598,0.999477,12.864205,-2.182041,1.000000,42.767033,6.811800,
offset,calibration,4,4,22,152,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,1.751756,1.741629,0.998608,20.026583,-2.182041,1.000000,41.753235,6.643395,
offset,calibration,4,4,23,153,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-6.939494,-6.937786,0.999928,4.910358,-2.182041,1.000000,42.080162,6.697701,
offset,calibration,4,4,24,154,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,11.344256,11.338032,0.999306,14.495149,-2.182041,1.000000,42.720592,6.804085,
offset,calibration,4,4,25,155,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-13.445745,-13.454566,0.998291,22.385252,-2.182041,1.000000,41.247227,6.559340,
offset,calibration,4,4,26,156,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,0.076756,0.073183,0.999283,14.974515,-2.182041,1.000000,42.950932,6.842348,
offset,calibration,4,4,27,157,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-0.606994,-0.619187,0.998074,23.251944,-2.182041,1.000000,44.015984,7.019267,
offset,calibration,4,4,28,158,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,3.620506,3.616665,0.999394,13.744759,-2.182041,1.000000,43.290005,6.898672,
offset,calibration,4,4,29,159,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,-9.778244,-9.779855,0.999620,11.033443,-2.182041,1.000000,42.435230,6.756683,
offset,calibration,4,4,30,160,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,3.538926,1.000000,nan,1.000000,0.788006,0.787942,0.999890,6.001729,-2.182041,1.000000,42.589062,6.782237,
offset,calibration,5,5,1,161,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.305287,1.000000,nan,1.000000,-0.419494,-0.426165,0.999314,14.372757,-2.189605,1.000000,42.388023,6.748841,
offset,calibration,5,5,2,162,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.305287,1.000000,nan,1.000000,9.355506,9.355569,0.999765,8.775909,-2.189605,1.000000,43.493847,6.932533,
offset,calibration,5,5,3,163,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.305287,1.000000,nan,1.000000,9.675506,9.674866,0.999944,4.246696,-2.189605,1.000000,42.593014,6.782893,
offset,calibration,5,5,4,164,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.305287,1.000000,nan,1.000000,3.549256,3.542942,0.999187,15.678524,-2.189605,1.000000,43.153030,6.875919,
offset,calibration,5,5,5,165,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.305287,1.000000,nan,1.000000,0.269256,0.260124,0.998447,21.294008,-2.189605,1.000000,42.966473,6.844929,
offset,calibration,5,5,6,166,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.305287,1.000000,nan,1.000000,3.993006,3.989756,0.999708,9.577086,-2.189605,1.000000,42.087334,6.698893,
offset,calibration,5,5,7,167,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.305287,1.000000,nan,1.000000,-1.601994,-1.600707,0.999942,4.401797,-2.189605,1.000000,43.432396,6.922325,
offset,calibration,5,5,8,168,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,4.305287,1.000000,nan,1.000000,-0.491994,-0.493436,0.999784,8.325386,-2.189605,1.000000,42.535698,6.773372,
