stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,correlation,selected_adc_mean_codes,channel_A_mean_codes,channel_B_mean_codes,channel_A_rms_codes,channel_B_rms_codes,stage5_raw_metrics_available,raw_A_sndr_db,raw_A_sfdr_db,raw_A_enob,raw_A_thd_db,raw_A_signal_hz,raw_A_worst_spur_hz,raw_B_sndr_db,raw_B_sfdr_db,raw_B_enob,raw_B_thd_db,raw_B_signal_hz,raw_B_worst_spur_hz,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,raw_AB_matching_valid,raw_AB_correlation,raw_AB_rmse_codes,raw_AB_residual_dbc,raw_offset_mismatch_codes,raw_gain_ratio_B_over_A,raw_gain_mismatch,raw_skew_mismatch_samples,raw_skew_mismatch_ps
baseline,baseline,0,1,11,21,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998328,-1.845000,-1.827045,8.061537,387.017227,367.445111,1,33.372829,32.415321,5.251300,-52.719486,199875000.000000,19500000.000000,32.862492,32.030235,5.166527,-54.645012,199875000.000000,19500000.000000,33.247345,32.181286,5.230456,-56.348660,199875000.000000,19500000.000000,1,0.975616,85.783165,-12.865990,6.234492,0.949210,-0.050790,-0.196829,-151.406977
baseline,baseline,0,1,12,22,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998637,-6.355000,-6.360930,11.096996,389.243953,370.906141,1,33.320473,32.471241,5.242603,-52.772007,199875000.000000,19500000.000000,33.146904,32.084091,5.213771,-50.103550,199875000.000000,19500000.000000,33.378597,32.243301,5.252259,-53.845181,199875000.000000,19500000.000000,1,0.979865,78.572037,-13.692095,4.736065,0.952589,-0.047411,-0.196829,-151.406977
baseline,baseline,0,1,13,23,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998819,-2.811250,-2.795798,7.646216,390.630414,372.981635,1,33.443859,32.721512,5.263100,-51.664131,199875000.000000,19500000.000000,33.246120,32.281361,5.230253,-51.032146,199875000.000000,19500000.000000,33.491726,32.474838,5.271051,-53.345455,199875000.000000,19500000.000000,1,0.982460,73.806030,-14.276351,4.850418,0.954644,-0.045356,-0.196829,-151.406977
baseline,baseline,0,1,14,24,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998736,-2.940000,-2.945922,7.720760,390.354291,372.646435,1,33.713398,32.915409,5.307873,-49.749191,199875000.000000,24375000.000000,33.753525,32.764614,5.314539,-50.685863,199875000.000000,24375000.000000,33.962334,32.811226,5.349225,-53.301357,199875000.000000,24375000.000000,1,0.981716,75.212914,-14.105371,4.774839,0.954459,-0.045541,-0.196829,-151.406977
baseline,baseline,0,1,15,25,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998556,-1.546250,-1.548548,7.382823,385.183331,365.393804,1,33.180622,32.893368,5.219372,-51.841469,199875000.000000,19500000.000000,32.996162,32.065910,5.188731,-51.408016,199875000.000000,21125000.000000,33.258682,32.412079,5.232339,-54.842270,199875000.000000,19500000.000000,1,0.973802,88.324677,-12.567806,5.834275,0.948437,-0.051563,-0.196829,-151.406977
baseline,baseline,0,1,16,26,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999006,9.642500,9.645646,-3.327393,387.455191,368.075337,1,32.956757,32.412060,5.182186,-50.164558,199875000.000000,19500000.000000,33.020180,32.526684,5.192721,-53.824482,199875000.000000,19500000.000000,33.112930,32.420811,5.208128,-54.458076,199875000.000000,19500000.000000,1,0.976450,84.417000,-13.017116,6.318253,0.950237,-0.049763,-0.196829,-151.406977
baseline,baseline,0,1,17,27,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998566,-3.781250,-3.752175,9.359945,387.018549,367.841886,1,34.040508,32.701180,5.362211,-50.783154,199875000.000000,24375000.000000,33.709927,32.738430,5.307297,-51.857048,199875000.000000,24375000.000000,34.112106,32.672375,5.374104,-54.811317,199875000.000000,24375000.000000,1,0.976103,84.880585,-12.961819,5.607770,0.950187,-0.049813,-0.196829,-151.406977
baseline,baseline,0,1,18,28,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998579,-4.386250,-4.375350,8.475669,386.715585,367.313523,1,33.623589,32.428852,5.292955,-50.874985,199875000.000000,21125000.000000,32.844563,32.142578,5.163548,-50.959904,199875000.000000,21125000.000000,33.362949,32.248817,5.249660,-53.390846,199875000.000000,21125000.000000,1,0.975494,85.765831,-12.862362,4.100318,0.949636,-0.050364,-0.196829,-151.406977
baseline,baseline,0,1,19,29,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998544,0.486250,0.488198,5.062666,384.872750,365.192983,1,34.047531,32.884987,5.363378,-51.428169,199875000.000000,24375000.000000,33.731873,32.461243,5.310942,-52.363739,199875000.000000,24375000.000000,34.078743,32.630959,5.368562,-54.122917,199875000.000000,24375000.000000,1,0.973464,88.759186,-12.519710,5.550864,0.948776,-0.051224,-0.196829,-151.406977
baseline,baseline,0,1,20,30,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998333,-3.696250,-3.699051,9.499960,387.409985,368.389242,1,33.353004,32.620438,5.248007,-49.382149,199875000.000000,19500000.000000,33.185295,31.982519,5.220149,-50.582497,199875000.000000,19500000.000000,33.436459,32.263138,5.261870,-52.918907,199875000.000000,19500000.000000,1,0.976568,84.173035,-13.045239,5.800910,0.950630,-0.049370,-0.196829,-151.406977
