stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,correlation,selected_adc_mean_codes,channel_A_mean_codes,channel_B_mean_codes,channel_A_rms_codes,channel_B_rms_codes,stage5_raw_metrics_available,raw_A_sndr_db,raw_A_sfdr_db,raw_A_enob,raw_A_thd_db,raw_A_signal_hz,raw_A_worst_spur_hz,raw_B_sndr_db,raw_B_sfdr_db,raw_B_enob,raw_B_thd_db,raw_B_signal_hz,raw_B_worst_spur_hz,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,raw_AB_matching_valid,raw_AB_correlation,raw_AB_rmse_codes,raw_AB_residual_dbc,raw_offset_mismatch_codes,raw_gain_ratio_B_over_A,raw_gain_mismatch,raw_skew_mismatch_samples,raw_skew_mismatch_ps
baseline,baseline,0,1,11,21,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999859,6.440000,-3.205395,6.445435,400.300319,400.570468,1,42.200047,46.083771,6.717616,-51.388016,299000000.000000,24375000.000000,41.565960,45.208199,6.612286,-50.005116,299000000.000000,24375000.000000,43.801086,45.792763,6.983570,-53.851082,299000000.000000,24375000.000000,1,0.995097,39.782486,-20.056110,-3.240040,1.000577,0.000577,-0.073633,-56.640992
baseline,baseline,0,1,12,22,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999804,6.976250,-1.943431,6.971033,395.601141,404.636703,1,41.836704,47.673508,6.657260,-50.030552,299000000.000000,34125000.000000,42.293755,47.623207,6.733182,-50.373253,299000000.000000,22750000.000000,43.876873,46.280724,6.996159,-53.007900,299000000.000000,22750000.000000,1,0.996565,34.717552,-21.232643,-5.027602,1.022701,0.022701,-0.073633,-56.640992
baseline,baseline,0,1,13,23,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999712,3.845000,-1.556070,3.846440,395.537770,395.422340,1,41.527225,45.291286,6.605852,-51.208836,299000000.000000,26000000.000000,41.884258,45.561089,6.665160,-51.816021,299000000.000000,24375000.000000,43.272060,45.497189,6.895691,-54.073826,299000000.000000,24375000.000000,1,0.994969,39.736004,-19.958569,-2.290370,0.999669,-0.000331,-0.073633,-56.640992
baseline,baseline,0,1,14,24,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999028,13.101250,-9.596289,13.103792,384.928959,384.532546,1,42.016396,44.518814,6.687109,-50.383904,299000000.000000,24375000.000000,42.131626,45.023338,6.706251,-50.794949,299000000.000000,26000000.000000,43.918133,44.816612,7.003012,-52.681911,299000000.000000,24375000.000000,1,0.994950,38.811081,-19.920153,-3.507503,0.998700,-0.001300,-0.073633,-56.640992
baseline,baseline,0,1,15,25,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999748,8.876250,-3.041931,8.862291,391.424999,402.125358,1,41.718170,45.401226,6.637570,-51.098824,299000000.000000,24375000.000000,42.340252,45.604988,6.740906,-51.311974,299000000.000000,24375000.000000,43.857910,45.643944,6.993009,-55.116901,299000000.000000,24375000.000000,1,0.996621,34.786812,-21.142176,-5.820360,1.027118,0.027118,-0.073633,-56.640992
baseline,baseline,0,1,16,26,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999730,15.521250,-11.349584,15.520880,396.383911,400.992775,1,41.647320,45.387257,6.625801,-53.129986,299000000.000000,19500000.000000,42.328777,45.217720,6.739000,-51.241661,299000000.000000,19500000.000000,43.632622,45.484768,6.955585,-55.204670,299000000.000000,19500000.000000,1,0.996091,35.755856,-20.940819,-4.171296,1.011284,0.011284,-0.073633,-56.640992
baseline,baseline,0,1,17,27,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.998998,14.978750,-10.021914,14.980153,375.817023,389.455457,1,41.699154,44.591515,6.634411,-49.925442,299000000.000000,24375000.000000,41.024673,45.003349,6.522371,-48.586895,299000000.000000,22750000.000000,42.930016,44.995312,6.838873,-52.462143,299000000.000000,24375000.000000,1,0.996496,35.084442,-20.749990,-4.958239,1.035892,0.035892,-0.073633,-56.640992
baseline,baseline,0,1,18,28,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999893,-2.298750,5.805049,-2.294895,392.206129,408.658175,1,41.322334,44.968357,6.571816,-50.337177,299000000.000000,27625000.000000,42.192890,47.409016,6.716427,-49.403576,299000000.000000,24375000.000000,43.741184,46.079617,6.973619,-52.834930,299000000.000000,26000000.000000,1,0.996143,38.992889,-20.232176,-3.510154,1.042045,0.042045,-0.073633,-56.640992
baseline,baseline,0,1,19,29,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999813,0.347500,4.333026,0.344925,397.425640,398.770176,1,41.753433,45.270615,6.643428,-51.063969,299000000.000000,29250000.000000,40.742603,43.325798,6.475516,-49.229736,299000000.000000,21125000.000000,42.692413,43.617115,6.799405,-52.845879,299000000.000000,19500000.000000,1,0.995449,38.292507,-20.337275,-4.677950,1.003442,0.003442,-0.073633,-56.640992
baseline,baseline,0,1,20,30,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,0.000000,1.000000,nan,1.000000,0.999723,10.461250,-5.965870,10.464590,397.274741,397.079939,1,41.364605,44.860352,6.578838,-51.626545,299000000.000000,27625000.000000,41.989002,45.954063,6.682559,-52.036781,299000000.000000,27625000.000000,43.365910,45.597828,6.911281,-55.319328,299000000.000000,27625000.000000,1,0.994961,40.118641,-19.910767,-4.498721,0.999275,-0.000725,-0.073633,-56.640992
