stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_gain,gain_error,correlation,rmse_codes,dither_gain,dither_valid,dither_reason,sndr_db,enob_bits
gain,calibration,2,2,12,452,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.970704,-0.029296,0.999120,19.267803,0.560677,1,FIT_QUALITY,42.479504,6.764038,
gain,calibration,2,2,13,453,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.991179,-0.008821,0.999694,10.241218,0.559127,1,FIT_QUALITY,42.375706,6.746795,
gain,calibration,2,2,14,454,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,1.003854,0.003854,0.999853,7.945131,0.430181,1,FIT_QUALITY,42.131165,6.706174,
gain,calibration,2,2,15,455,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.958903,-0.041097,0.998798,19.106472,0.446340,1,FIT_QUALITY,41.382099,6.581744,
gain,calibration,2,2,16,456,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.945965,-0.054035,0.998405,22.403288,0.462695,1,FIT_QUALITY,41.114544,6.537300,
gain,calibration,2,2,17,457,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.944375,-0.055625,0.998211,23.156378,0.391336,1,FIT_QUALITY,41.424633,6.588810,
gain,calibration,2,2,18,458,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.965310,-0.034690,0.998987,17.834053,0.447286,1,FIT_QUALITY,41.958374,6.677471,
gain,calibration,2,2,19,459,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.939092,-0.060908,0.998405,21.650574,0.427615,1,FIT_QUALITY,41.918129,6.670786,
gain,calibration,2,2,20,460,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.960482,-0.039518,0.998758,21.328159,0.507807,1,FIT_QUALITY,42.195427,6.716849,
gain,calibration,2,2,21,461,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.953991,-0.046009,0.998678,20.113895,0.571506,1,FIT_QUALITY,41.285580,6.565711,
gain,calibration,2,2,22,462,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.963816,-0.036184,0.998901,20.247610,0.389307,1,FIT_QUALITY,42.226871,6.722072,
gain,calibration,2,2,23,463,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.998211,-0.001789,0.999794,10.874548,0.549462,1,FIT_QUALITY,41.994343,6.683446,
gain,calibration,2,2,24,464,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.991777,-0.008223,0.999715,9.617933,0.677895,1,FIT_QUALITY,41.489758,6.599628,
gain,calibration,2,2,25,465,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,1.001929,0.001929,0.999890,7.082192,0.433574,1,FIT_QUALITY,42.087704,6.698955,
gain,calibration,2,2,26,466,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.949007,-0.050993,0.998701,20.670982,0.517716,1,FIT_QUALITY,41.445190,6.592225,
gain,calibration,2,2,27,467,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.984615,-0.015385,0.999627,11.028058,0.391017,1,FIT_QUALITY,42.025906,6.688689,
gain,calibration,2,2,28,468,1,none,1300000000.000000,2600000000.000000,1.000000,1,0,-10.822922,1.002686,nan,1.000000,0.988815,-0.011185,0.999562,15.105430,0.573386,1,FIT_QUALITY,41.496098,6.600681,
