sample_index,adc_code,ifc_vpp,sweep_index
862,175,2.04,1
863,-184,2.04,1
864,205,2.04,1
865,-55,2.04,1
866,239,2.04,1
867,-63,2.04,1
868,-16,2.04,1
869,-153,2.04,1
870,172,2.04,1
871,-40,2.04,1
872,33,2.04,1
873,-217,2.04,1
874,78,2.04,1
875,-200,2.04,1
876,174,2.04,1
877,-24,2.04,1
878,35,2.04,1
879,-57,2.04,1
880,213,2.04,1
881,-79,2.04,1
882,90,2.04,1
883,-40,2.04,1
884,79,2.04,1
885,-100,2.04,1
886,143,2.04,1
887,-160,2.04,1
888,142,2.04,1
889,27,2.04,1
890,177,2.04,1
891,-43,2.04,1
892,225,2.04,1
893,-51,2.04,1
894,138,2.04,1
895,-151,2.04,1
896,70,2.04,1
897,-120,2.04,1
898,32,2.04,1
899,-39,2.04,1
900,65,2.04,1
901,-69,2.04,1
902,117,2.04,1
903,32,2.04,1
904,230,2.04,1
905,-19,2.04,1
906,118,2.04,1
907,-35,2.04,1
908,178,2.04,1
909,-43,2.04,1
910,113,2.04,1
911,-87,2.04,1
912,110,2.04,1
913,-91,2.04,1
914,153,2.04,1
915,-97,2.04,1
916,199,2.04,1
917,-67,2.04,1
918,86,2.04,1
919,-94,2.04,1
920,225,2.04,1
921,-18,2.04,1
922,41,2.04,1
923,-43,2.04,1
924,-657,2.04,1
925,-193,2.04,1
926,155,2.04,1
927,-168,2.04,1
928,147,2.04,1
929,-96,2.04,1
930,252,2.04,1
931,20,2.04,1
932,73,2.04,1
933,-115,2.04,1
934,100,2.04,1
935,-147,2.04,1
936,134,2.04,1
937,-84,2.04,1
938,103,2.04,1
939,-61,2.04,1
940,122,2.04,1
941,-154,2.04,1
942,103,2.04,1
943,-77,2.04,1
944,241,2.04,1
945,-69,2.04,1
946,177,2.04,1
947,4,2.04,1
948,35,2.04,1
949,-124,2.04,1
950,170,2.04,1
951,-202,2.04,1
952,42,2.04,1
953,-51,2.04,1
954,166,2.04,1
955,-118,2.04,1
956,222,2.04,1
957,-5,2.04,1
958,6,2.04,1
959,-89,2.04,1
960,157,2.04,1
961,-93,2.04,1
962,107,2.04,1
963,-62,2.04,1
964,50,2.04,1
965,-113,2.04,1
966,184,2.04,1
967,-154,2.04,1
968,113,2.04,1
969,-19,2.04,1
970,263,2.04,1
971,6,2.04,1
972,-20,2.04,1
973,-10,2.04,1
974,186,2.04,1
975,-125,2.04,1
976,179,2.04,1
977,-138,2.04,1
978,106,2.04,1
979,-184,2.04,1
980,216,2.04,1
981,-54,2.04,1
982,227,2.04,1
983,-79,2.04,1
984,164,2.04,1
985,-25,2.04,1
986,96,2.04,1
987,32,2.04,1
988,123,2.04,1
989,-159,2.04,1
990,92,2.04,1
991,-89,2.04,1
992,87,2.04,1
993,-140,2.04,1
994,153,2.04,1
995,1,2.04,1
996,176,2.04,1
997,-95,2.04,1
998,845,2.04,1
999,0,2.04,1
1000,215,2.04,1
1001,-926,2.04,1
1002,95,2.04,1
1003,-147,2.04,1
1004,-635,2.04,1
1005,-123,2.04,1
1006,810,2.04,1
1007,-28,2.04,1
1008,277,2.04,1
1009,-24,2.04,1
1010,203,2.04,1
1011,-81,2.04,1
1012,197,2.04,1
1013,-46,2.04,1
1014,24,2.04,1
1015,-76,2.04,1
1016,198,2.04,1
1017,-195,2.04,1
1018,115,2.04,1
1019,-52,2.04,1
1020,879,2.04,1
1021,-67,2.04,1
1022,267,2.04,1
1023,-61,2.04,1
1024,62,2.04,1
1025,-43,2.04,1
1026,118,2.04,1
1027,-97,2.04,1
1028,13,2.04,1
1029,-200,2.04,1
1030,40,2.04,1
1031,-208,2.04,1
1032,127,2.04,1
1033,4,2.04,1
1034,175,2.04,1
1035,51,2.04,1
1036,196,2.04,1
1037,-142,2.04,1
1038,197,2.04,1
1039,55,2.04,1
1040,165,2.04,1
1041,-139,2.04,1
1042,79,2.04,1
1043,-150,2.04,1
1044,181,2.04,1
1045,21,2.04,1
1046,209,2.04,1
1047,-38,2.04,1
1048,276,2.04,1
1049,-24,2.04,1
1050,44,2.04,1
1051,-96,2.04,1
1052,63,2.04,1
1053,-13,2.04,1
1054,57,2.04,1
1055,43,2.04,1
1056,162,2.04,1
1057,-169,2.04,1
1058,320,2.04,1
1059,-136,2.04,1
1060,234,2.04,1
1061,8,2.04,1
1062,185,2.04,1
1063,16,2.04,1
1064,284,2.04,1
1065,-41,2.04,1
1066,-6,2.04,1
1067,-107,2.04,1
1068,-513,2.04,1
1069,-939,2.04,1
