stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_offset_residual_codes,fit_offset_codes,correlation,rmse_codes,filtered_residual_at_iteration_start,tolerance_codes
offset,calibration,3,3,28,128,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,-11.695951,-11.653795,0.998905,18.425968,-2.937517,1.000000
offset,calibration,3,3,29,129,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,-1.503450,-1.466063,0.999038,17.146049,-2.937517,1.000000
offset,calibration,3,3,30,130,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.045447,1.000000,nan,1.000000,-0.832200,-0.806008,0.999278,14.602410,-2.937517,1.000000
offset,calibration,4,4,1,131,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-9.365951,-9.354499,0.998675,19.338482,-2.637290,1.000000
offset,calibration,4,4,2,132,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-1.504700,-1.461459,0.998933,18.217493,-2.637290,1.000000
offset,calibration,4,4,3,133,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-7.474700,-7.444394,0.999012,17.186884,-2.637290,1.000000
offset,calibration,4,4,4,134,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,2.180300,2.206618,0.999082,16.470081,-2.637290,1.000000
offset,calibration,4,4,5,135,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,4.501550,4.538831,0.999032,17.197670,-2.637290,1.000000
offset,calibration,4,4,6,136,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,7.195300,7.235140,0.998976,17.756226,-2.637290,1.000000
offset,calibration,4,4,7,137,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-4.787200,-4.759812,0.999142,15.948330,-2.637290,1.000000
offset,calibration,4,4,8,138,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-2.519700,-2.481387,0.999152,16.114422,-2.637290,1.000000
offset,calibration,4,4,9,139,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-4.153450,-4.118654,0.999350,14.037382,-2.637290,1.000000
offset,calibration,4,4,10,140,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,6.441550,6.465329,0.999138,15.893084,-2.637290,1.000000
offset,calibration,4,4,11,141,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,7.087800,7.116096,0.999315,14.263015,-2.637290,1.000000
offset,calibration,4,4,12,142,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-0.894700,-0.886167,0.998672,19.269941,-2.637290,1.000000
offset,calibration,4,4,13,143,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-8.667200,-8.651752,0.998889,17.813147,-2.637290,1.000000
offset,calibration,4,4,14,144,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-0.825950,-0.789025,0.999133,16.260265,-2.637290,1.000000
offset,calibration,4,4,15,145,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-6.267200,-6.264447,0.998525,20.121195,-2.637290,1.000000
offset,calibration,4,4,16,146,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,8.266550,8.291929,0.999090,16.371683,-2.637290,1.000000
offset,calibration,4,4,17,147,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-3.483450,-3.452152,0.998948,17.769150,-2.637290,1.000000
offset,calibration,4,4,18,148,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,1.896550,1.923200,0.999059,16.683596,-2.637290,1.000000
offset,calibration,4,4,19,149,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,4.700300,4.726822,0.999042,16.826824,-2.637290,1.000000
offset,calibration,4,4,20,150,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-4.918450,-4.886476,0.999144,16.036747,-2.637290,1.000000
offset,calibration,4,4,21,151,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-6.065950,-6.055143,0.998757,18.704939,-2.637290,1.000000
offset,calibration,4,4,22,152,1,none,1300000000.000000,2600000000.000000,1.000000,0,1,2.968498,1.000000,nan,1.000000,-2.940950,-2.911431,0.999069,16.668505,-2.637290,1.000000
