stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,delay_register_active,offset_correction_active_codes,gain_correction_active,active_polarity,primary_valid,primary_rejection_reason,raw_phase_difference_rad,polarity_hypothesis,applied_phase_adjustment_rad,corrected_phase_difference_rad,measured_skew_samples,measured_skew_ps,tone_A_frequency_hz,tone_B_frequency_hz,tone_A_amplitude,tone_B_amplitude,tone_A_correlation,tone_B_correlation,tone_A_rmse,tone_B_rmse,dither_A_valid,dither_B_valid,dither_skew_valid,dither_skew_samples,dither_skew_ps,tone_dither_disagreement_samples,tone_dither_disagreement_ps,tone_A_sndr_db,tone_A_enob_bits,tone_B_sndr_db,tone_B_enob_bits,dither_reason,dither_rising_skew_ps,dither_falling_skew_ps,dither_edge_disagreement_ps
skew,actuator_characterization_after,0,3,3,643,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.980059,-1,-3.141593,-0.161534,-0.167108,-128.544683,199999934.179871,199999934.179871,564.812132,541.921753,0.999650,0.999634,10.574025,10.371008,1,1,0,nan,nan,nan,nan,31.542974,4.947338,31.352012,4.915617,edge estimates disagree,-53.694906,-307.985305,254.290400,
skew,actuator_characterization_after,0,3,4,644,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.948171,-1,-3.141593,-0.193422,-0.200096,-153.920050,199999934.179871,199999934.179871,564.512686,538.504236,0.999651,0.999613,10.552636,10.596780,1,1,0,nan,nan,nan,nan,31.555955,4.949494,31.110004,4.875416,edge estimates disagree,127.833448,-310.152179,437.985626,
skew,actuator_characterization_after,0,3,5,645,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.988806,-1,-3.141593,-0.152787,-0.158059,-121.584108,199999934.179871,199999934.179871,565.265000,543.744728,0.999642,0.999620,10.703019,10.601350,1,1,0,nan,nan,nan,nan,31.444616,4.930999,31.190378,4.888767,edge estimates disagree,-156.562252,-30.484181,126.078071,
skew,actuator_characterization_after,0,3,6,646,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.939078,-1,-3.141593,-0.202515,-0.209503,-161.156313,199999934.179871,199999934.179871,563.480285,536.708818,0.999645,0.999601,10.623612,10.730796,1,1,0,nan,nan,nan,nan,31.481831,4.937181,30.971836,4.852464,skew outside supported linear range,-291.402353,-73.471477,217.930877,
skew,actuator_characterization_after,0,3,7,647,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.997624,-1,-3.141593,-0.143968,-0.148936,-114.566354,199999934.179871,199999934.179871,564.635967,544.772977,0.999662,0.999647,10.383539,10.232166,1,1,0,nan,nan,nan,nan,31.698163,4.973117,31.514660,4.942634,skew outside supported linear range,-240.029003,-155.457932,84.571071,
skew,actuator_characterization_after,0,3,8,648,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.978406,-1,-3.141593,-0.163187,-0.168818,-129.859814,199999934.179871,199999934.179871,565.290473,542.259096,0.999605,0.999545,11.235886,11.572493,1,1,0,nan,nan,nan,nan,31.022987,4.860961,30.405298,4.758355,skew outside supported linear range,-121.650677,-291.330530,169.679853,
skew,actuator_characterization_after,0,3,9,649,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.998529,-1,-3.141593,-0.143063,-0.148000,-113.846312,199999934.179871,199999934.179871,564.935543,544.711199,0.999669,0.999631,10.276755,10.472835,1,1,0,nan,nan,nan,nan,31.792558,4.988797,31.311741,4.908927,skew outside supported linear range,-677.823452,-147.278372,530.545079,
skew,actuator_characterization_after,0,3,10,650,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,25,-7.946225,1.000000,1.000000,1,none,2.994986,-1,-3.141593,-0.146607,-0.151666,-116.666081,199999934.179871,199999934.179871,564.647130,544.210357,0.999633,0.999622,10.815818,10.573749,1,1,0,nan,nan,nan,nan,31.344055,4.914295,31.220457,4.893764,skew outside supported linear range,-164.513020,-323.952016,159.438997,
skew,actuator_characterization_baseline,0,4,1,651,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.982819,-1,-3.141593,-0.158774,-0.164253,-126.348471,199999934.179871,199999934.179871,564.348501,543.528231,0.999644,0.999609,10.658584,10.755687,1,1,0,nan,nan,nan,nan,31.466657,4.934661,31.061379,4.867339,edge estimates disagree,-85.830961,-279.892868,194.061907,
skew,actuator_characterization_baseline,0,4,2,652,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,24,-7.946225,1.000000,1.000000,1,none,2.968787,-1,-3.141593,-0.172805,-0.178768,-137.514176,199999934.179871,199999934.179871,564.850828,541.528039,0.999614,0.999591,11.093249,10.954475,1,1,0,nan,nan,nan,nan,31.127200,4.878272,30.870288,4.835596,skew outside supported linear range,-276.203461,-163.389634,112.813827,
