stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_offset_residual_codes,fit_offset_codes,correlation,rmse_codes,filtered_residual_at_iteration_start,tolerance_codes,sndr_db,enob_bits
offset,calibration,2,2,29,99,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,7.359333,7.359871,0.998765,19.097841,8.406374,1.000000,33.392033,5.254490,
offset,calibration,2,2,30,100,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-1.500000,1.000000,nan,1.000000,10.349333,10.350054,0.998759,19.162334,8.406374,1.000000,33.831314,5.327461,
offset,calibration,3,3,1,101,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,0.316832,0.316723,0.998776,18.972490,7.467291,1.000000,33.958683,5.348619,
offset,calibration,3,3,2,102,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,4.756832,4.756254,0.998590,20.334055,7.467291,1.000000,33.263958,5.233216,
offset,calibration,3,3,3,103,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,6.559332,6.551459,0.998658,19.331913,7.467291,1.000000,33.005566,5.190293,
offset,calibration,3,3,4,104,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,-2.640668,-2.644151,0.998759,18.879564,7.467291,1.000000,33.355877,5.248485,
offset,calibration,3,3,5,105,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,7.903082,7.903073,0.998682,19.695356,7.467291,1.000000,34.245869,5.396324,
offset,calibration,3,3,6,106,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,-1.555668,-1.562083,0.998642,19.546938,7.467291,1.000000,33.082024,5.202994,
offset,calibration,3,3,7,107,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,-4.955667,-4.961154,0.998515,20.512140,7.467291,1.000000,33.551559,5.280990,
offset,calibration,3,3,8,108,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,-2.413168,-2.422776,0.998813,18.066851,7.467291,1.000000,33.219456,5.225823,
offset,calibration,3,3,9,109,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,5.409332,5.408939,0.998627,20.072855,7.467291,1.000000,33.936550,5.344942,
offset,calibration,3,3,10,110,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,-3.150668,-3.156271,0.998555,20.220266,7.467291,1.000000,33.348133,5.247198,
offset,calibration,3,3,11,111,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,8.579332,8.578858,0.998748,19.160559,7.467291,1.000000,33.471226,5.267645,
offset,calibration,3,3,12,112,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,6.321832,6.317618,0.998729,19.053595,7.467291,1.000000,33.523937,5.276402,
offset,calibration,3,3,13,113,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,2.726832,2.726228,0.998931,17.695417,7.467291,1.000000,33.895538,5.338130,
offset,calibration,3,3,14,114,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,4.269332,4.269816,0.998786,18.936436,7.467291,1.000000,33.824806,5.326380,
offset,calibration,3,3,15,115,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,7.755582,7.754801,0.998867,18.205870,7.467291,1.000000,34.129520,5.376997,
offset,calibration,3,3,16,116,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,2.529332,2.519421,0.998589,19.679928,7.467291,1.000000,32.981739,5.186336,
offset,calibration,3,3,17,117,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,5.850582,5.841852,0.998619,19.551605,7.467291,1.000000,33.363098,5.249684,
offset,calibration,3,3,18,118,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,-1.553168,-1.560126,0.998594,19.850855,7.467291,1.000000,32.849255,5.164328,
offset,calibration,3,3,19,119,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,7.846832,7.847513,0.998837,18.539972,7.467291,1.000000,33.039383,5.195911,
offset,calibration,3,3,20,120,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,5.151833,5.143799,0.998662,19.291265,7.467291,1.000000,33.204090,5.223271,
offset,calibration,3,3,21,121,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,4.411832,4.404489,0.998794,18.358212,7.467291,1.000000,32.827404,5.160698,
offset,calibration,3,3,22,122,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,9.971832,9.962336,0.998672,19.118734,7.467291,1.000000,32.977554,5.185640,
offset,calibration,3,3,23,123,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,0.749332,0.739444,0.998691,18.955093,7.467291,1.000000,32.589489,5.121178,
offset,calibration,3,3,24,124,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,1.121832,1.122579,0.998809,18.766975,7.467291,1.000000,34.247540,5.396602,
offset,calibration,3,3,25,125,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,14.198082,14.197181,0.998825,18.538960,7.467291,1.000000,33.620308,5.292410,
offset,calibration,3,3,26,126,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,7.423082,7.422564,0.998793,18.809948,7.467291,1.000000,33.170517,5.217694,
offset,calibration,3,3,27,127,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,-2.860668,-2.861244,0.998724,19.341291,7.467291,1.000000,33.117928,5.208958,
offset,calibration,3,3,28,128,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,3.741832,3.741086,0.998688,19.603065,7.467291,1.000000,33.827461,5.326821,
offset,calibration,3,3,29,129,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,2.985582,2.984971,0.998655,19.855394,7.467291,1.000000,32.931141,5.177930,
offset,calibration,3,3,30,130,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-3.000000,1.000000,nan,1.000000,6.366832,6.361670,0.998729,18.990965,7.467291,1.000000,33.680969,5.302486,
offset,calibration,4,4,1,131,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,4.383082,4.382360,0.998440,21.378763,5.917941,1.000000,33.898628,5.338643,
offset,calibration,4,4,2,132,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,9.218082,9.209509,0.998859,17.777164,5.917941,1.000000,33.887436,5.336784,
offset,calibration,4,4,3,133,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,1.145582,1.142663,0.998795,18.643194,5.917941,1.000000,33.633118,5.294538,
offset,calibration,4,4,4,134,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,-0.239418,-0.239419,0.998697,19.581459,5.917941,1.000000,33.875111,5.334736,
offset,calibration,4,4,5,135,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,-0.780668,-0.784489,0.998553,20.362688,5.917941,1.000000,33.761406,5.315848,
offset,calibration,4,4,6,136,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,2.994332,2.994868,0.999502,12.125460,5.917941,1.000000,33.208206,5.223955,
offset,calibration,4,4,7,137,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,10.986833,10.979361,0.998759,18.613678,5.917941,1.000000,33.487881,5.270412,
offset,calibration,4,4,8,138,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,5.253082,5.246067,0.999116,15.731447,5.917941,1.000000,34.024864,5.359612,
offset,calibration,4,4,9,139,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,4.251832,4.243205,0.998747,18.625128,5.917941,1.000000,33.790962,5.320758,
offset,calibration,4,4,10,140,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,8.606833,8.603953,0.998706,19.317785,5.917941,1.000000,32.984425,5.186781,
offset,calibration,4,4,11,141,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,-2.504418,-2.513695,0.998893,17.466404,5.917941,1.000000,32.887001,5.170598,
offset,calibration,4,4,12,142,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,11.138083,11.132504,0.998677,19.351191,5.917941,1.000000,33.590069,5.287387,
offset,calibration,4,4,13,143,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,3.433082,3.423573,0.998524,20.155476,5.917941,1.000000,33.822590,5.326012,
offset,calibration,4,4,14,144,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,5.709332,5.700607,0.998451,20.708424,5.917941,1.000000,33.115208,5.208506,
offset,calibration,4,4,15,145,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,5.658082,5.658189,0.998529,20.817522,5.917941,1.000000,33.416420,5.258542,
offset,calibration,4,4,16,146,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,1.580582,1.580781,0.998781,18.956120,5.917941,1.000000,33.810925,5.324074,
offset,calibration,4,4,17,147,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,1.561832,1.562521,0.998698,19.621311,5.917941,1.000000,33.383034,5.252995,
offset,calibration,4,4,18,148,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,-3.331918,-3.341157,0.998691,18.999739,5.917941,1.000000,32.607525,5.124174,
offset,calibration,4,4,19,149,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,5.368083,5.359118,0.998445,20.730450,5.917941,1.000000,33.508564,5.273848,
offset,calibration,4,4,20,150,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,11.483083,11.474000,0.998324,21.511967,5.917941,1.000000,33.593513,5.287959,
offset,calibration,4,4,21,151,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,5.486832,5.482118,0.998795,18.522211,5.917941,1.000000,33.040394,5.196079,
offset,calibration,4,4,22,152,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,4.319332,4.319575,0.998958,17.522556,5.917941,1.000000,33.878971,5.335378,
offset,calibration,4,4,23,153,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,2.736832,2.737328,0.998797,18.845312,5.917941,1.000000,33.155716,5.215235,
offset,calibration,4,4,24,154,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,6.824332,6.824989,0.998791,18.904232,5.917941,1.000000,34.146461,5.379811,
offset,calibration,4,4,25,155,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-4.500000,1.000000,nan,1.000000,6.713082,6.707774,0.998565,20.170637,5.917941,1.000000,33.069927,5.200984,
