stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,measured_gain,gain_error,correlation,rmse_codes,dither_gain,dither_valid,dither_reason,sndr_db,enob_bits
gain,calibration,2,2,13,573,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.000159,0.000159,0.998808,20.329233,0.491212,1,FIT_QUALITY,33.160587,5.216044,
gain,calibration,2,2,14,574,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.983755,-0.016245,0.998870,20.326572,0.464877,1,FIT_QUALITY,32.908913,5.174238,
gain,calibration,2,2,15,575,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.984430,-0.015570,0.998696,19.226839,0.481808,1,FIT_QUALITY,32.907257,5.173963,
gain,calibration,2,2,16,576,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.012870,0.012870,0.999281,15.267911,0.457475,1,FIT_QUALITY,33.224800,5.226711,
gain,calibration,2,2,17,577,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.984110,-0.015890,0.998524,20.581869,0.463495,1,NONE,33.569710,5.284005,
gain,calibration,2,2,18,578,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.988486,-0.011514,0.998910,19.952471,0.415608,1,FIT_QUALITY,33.081955,5.202982,
gain,calibration,2,2,19,579,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.008014,0.008014,0.998778,19.055799,0.469275,1,FIT_QUALITY,33.888859,5.337020,
gain,calibration,2,2,20,580,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.008715,0.008715,0.998793,19.743523,0.438500,1,FIT_QUALITY,34.056412,5.364853,
gain,calibration,2,2,21,581,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.008650,0.008650,0.998746,19.718622,0.466746,1,FIT_QUALITY,33.605953,5.290025,
gain,calibration,2,2,22,582,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.015306,0.015306,0.998699,23.145140,0.472146,1,FIT_QUALITY,33.575775,5.285012,
gain,calibration,2,2,23,583,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.009730,0.009730,0.998744,21.170359,0.421476,1,FIT_QUALITY,34.031578,5.360728,
gain,calibration,2,2,24,584,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.011000,0.011000,0.998785,19.773790,0.479316,1,FIT_QUALITY,33.679451,5.302234,
gain,calibration,2,2,25,585,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.009462,0.009462,0.998812,19.731237,0.426112,1,FIT_QUALITY,33.446220,5.263492,
gain,calibration,2,2,26,586,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.007969,0.007969,0.998691,20.986561,0.425983,1,FIT_QUALITY,33.356556,5.248597,
gain,calibration,2,2,27,587,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.985017,-0.014983,0.998863,17.810251,0.433857,1,FIT_QUALITY,33.223331,5.226467,
gain,calibration,2,2,28,588,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.986694,-0.013306,0.998801,18.774920,0.415775,1,FIT_QUALITY,33.313522,5.241449,
gain,calibration,2,2,29,589,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.015172,0.015172,0.998897,18.419329,0.465809,1,FIT_QUALITY,33.900761,5.338997,
gain,calibration,2,2,30,590,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.002365,0.002365,0.998736,19.510635,0.420739,1,FIT_QUALITY,34.101303,5.372310,
gain,verification,2,1,1,591,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.998184,-0.001816,0.998758,19.615499,nan,0,not evaluated,33.197784,5.222223,
gain,verification,2,1,2,592,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.981507,-0.018493,0.998732,19.812418,nan,0,not evaluated,32.410709,5.091480,
gain,verification,2,1,3,593,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.010079,0.010079,0.998700,19.667627,nan,0,not evaluated,33.789608,5.320533,
gain,verification,2,1,4,594,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.013269,0.013269,0.998614,20.454380,nan,0,not evaluated,33.885101,5.336396,
gain,verification,2,1,5,595,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.010143,0.010143,0.998719,19.574930,nan,0,not evaluated,33.311962,5.241189,
gain,verification,2,1,6,596,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.008361,0.008361,0.998577,20.833824,nan,0,not evaluated,33.533348,5.277965,
gain,verification,2,1,7,597,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.009399,0.009399,0.999058,16.839918,nan,0,not evaluated,33.940845,5.345656,
gain,verification,2,1,8,598,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.985070,-0.014930,0.998677,19.835165,nan,0,not evaluated,33.667210,5.300201,
gain,verification,2,1,9,599,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.981626,-0.018374,0.999418,12.696001,nan,0,not evaluated,32.964485,5.183469,
gain,verification,2,1,10,600,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.011101,0.011101,0.998680,19.740828,nan,0,not evaluated,33.838699,5.328688,
gain,verification,2,1,11,601,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.991614,-0.008386,0.998678,21.082909,nan,0,not evaluated,33.710709,5.307426,
gain,verification,2,1,12,602,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.012788,0.012788,0.998761,19.236511,nan,0,not evaluated,33.812698,5.324369,
gain,verification,2,1,13,603,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.980224,-0.019776,0.998698,18.984125,nan,0,not evaluated,32.999123,5.189223,
gain,verification,2,1,14,604,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.009321,0.009321,0.998608,21.697035,nan,0,not evaluated,33.640640,5.295787,
gain,verification,2,1,15,605,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.011724,0.011724,0.998757,19.367971,nan,0,not evaluated,33.543858,5.279711,
gain,verification,2,1,16,606,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.007289,0.007289,0.998797,18.740662,nan,0,not evaluated,33.463882,5.266426,
gain,verification,2,1,17,607,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.984097,-0.015903,0.998744,19.315878,nan,0,not evaluated,32.924217,5.176780,
gain,verification,2,1,18,608,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.011444,0.011444,0.998646,20.545879,nan,0,not evaluated,33.934895,5.344667,
gain,verification,2,1,19,609,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.013996,0.013996,0.998593,20.740587,nan,0,not evaluated,33.248196,5.230597,
gain,verification,2,1,20,610,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.011713,0.011713,0.998491,21.150335,nan,0,not evaluated,34.031197,5.360664,
gain,verification,2,1,21,611,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.006595,0.006595,0.998528,20.760790,nan,0,not evaluated,33.566566,5.283483,
gain,verification,2,1,22,612,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.004874,0.004874,0.998954,17.773178,nan,0,not evaluated,33.693363,5.304545,
gain,verification,2,1,23,613,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.000099,0.000099,0.998548,21.984003,nan,0,not evaluated,33.403133,5.256334,
gain,verification,2,1,24,614,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.013553,0.013553,0.998764,19.904293,nan,0,not evaluated,33.178883,5.219083,
gain,verification,2,1,25,615,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.979567,-0.020433,0.998651,19.283945,nan,0,not evaluated,33.243336,5.229790,
gain,verification,2,1,26,616,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.009967,0.009967,0.998721,19.356438,nan,0,not evaluated,33.050465,5.197752,
gain,verification,2,1,27,617,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.011017,0.011017,0.998736,20.895264,nan,0,not evaluated,33.196941,5.222083,
gain,verification,2,1,28,618,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.012147,0.012147,0.998496,21.531279,nan,0,not evaluated,34.031792,5.360763,
gain,verification,2,1,29,619,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,1.015095,0.015095,0.998685,20.008917,nan,0,not evaluated,33.238850,5.229045,
gain,verification,2,1,30,620,1,none,1300000000.000000,2600000000.000000,1.000000,1,1,-7.946225,1.000000,nan,1.000000,0.988512,-0.011488,0.998743,19.198889,nan,0,not evaluated,32.964275,5.183434,
