stage,capture_phase,iteration,capture_group_index,capture_index,global_capture_index,accepted,rejection_reason,physical_adc_rate_hz,configured_dac_rate_hz,reference_rate_compensation,channel,canonical_phase,offset_correction_active_codes,gain_correction_active,delay_register_active,active_polarity,correlation,selected_adc_mean_codes,channel_A_mean_codes,channel_B_mean_codes,channel_A_rms_codes,channel_B_rms_codes,stage5_raw_metrics_available,raw_A_sndr_db,raw_A_sfdr_db,raw_A_enob,raw_A_thd_db,raw_A_signal_hz,raw_A_worst_spur_hz,raw_B_sndr_db,raw_B_sfdr_db,raw_B_enob,raw_B_thd_db,raw_B_signal_hz,raw_B_worst_spur_hz,raw_parallel_avg_sndr_db,raw_parallel_avg_sfdr_db,raw_parallel_avg_enob,raw_parallel_avg_thd_db,raw_parallel_avg_signal_hz,raw_parallel_avg_worst_spur_hz,raw_AB_matching_valid,raw_AB_correlation,raw_AB_rmse_codes,raw_AB_residual_dbc,raw_offset_mismatch_codes,raw_gain_ratio_B_over_A,raw_gain_mismatch,raw_skew_mismatch_samples,raw_skew_mismatch_ps
baseline,baseline,0,1,11,21,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.997843,-9.513750,-9.512290,14.699258,381.082789,366.638941,1,40.692650,41.370693,6.467218,-51.825661,299000000.000000,26000000.000000,40.165497,41.594887,6.379651,-50.284973,299000000.000000,22750000.000000,41.743259,41.383663,6.641738,-55.245430,299000000.000000,22750000.000000,1,0.985959,64.497887,-15.260147,5.186968,0.961624,-0.038376,-0.112029,-86.176003
baseline,baseline,0,1,12,22,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999903,4.321250,4.326980,0.569290,408.906316,395.154312,1,40.117886,41.608116,6.371742,-49.950169,299000000.000000,19500000.000000,39.987873,40.972488,6.350145,-49.707539,299000000.000000,19500000.000000,41.109039,41.439880,6.536386,-52.443237,299000000.000000,19500000.000000,1,0.987761,64.556244,-15.887425,4.896269,0.966422,-0.033578,-0.112029,-86.176003
baseline,baseline,0,1,13,23,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999111,-11.275000,-11.284894,15.852821,395.924384,370.422346,1,39.895878,41.052315,6.334864,-49.422890,299000000.000000,24375000.000000,39.138256,40.028610,6.209013,-49.994965,299000000.000000,24375000.000000,40.593277,40.535439,6.450711,-53.534805,299000000.000000,24375000.000000,1,0.968479,99.568382,-11.704686,4.567927,0.935111,-0.064889,-0.112029,-86.176003
baseline,baseline,0,1,14,24,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999600,0.903750,0.884073,4.635958,402.286289,377.208499,1,41.037323,41.616428,6.524473,-50.872456,299000000.000000,26000000.000000,40.319347,41.383835,6.405208,-50.917652,299000000.000000,26000000.000000,41.799984,41.478462,6.651160,-53.831673,299000000.000000,26000000.000000,1,0.971128,97.069931,-12.078145,5.520031,0.937593,-0.062407,-0.112029,-86.176003
baseline,baseline,0,1,15,25,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998811,2.538750,2.542637,1.286906,389.652881,372.548964,1,40.867794,43.559650,6.496312,-51.202644,299000000.000000,29250000.000000,39.691231,40.462719,6.300869,-51.172989,299000000.000000,19500000.000000,41.283276,41.278305,6.565329,-53.647694,299000000.000000,19500000.000000,1,0.983529,71.335823,-14.556711,3.829544,0.956119,-0.043881,-0.112029,-86.176003
baseline,baseline,0,1,16,26,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998939,5.225000,5.232307,-0.029581,393.858581,368.158334,1,40.001640,41.189903,6.352432,-50.956524,299000000.000000,19500000.000000,38.679653,39.504185,6.132833,-49.294811,299000000.000000,19500000.000000,40.338146,40.325401,6.408330,-52.088062,299000000.000000,19500000.000000,1,0.968012,99.807373,-11.639968,5.202726,0.934830,-0.065170,-0.112029,-86.176003
baseline,baseline,0,1,17,27,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999652,-2.257500,-2.259170,7.988202,404.215314,381.348961,1,41.100021,41.464497,6.534888,-51.796192,299000000.000000,24375000.000000,39.990124,41.311443,6.350519,-51.226368,299000000.000000,24375000.000000,41.561184,41.365597,6.611493,-53.268337,299000000.000000,24375000.000000,1,0.976192,88.866646,-12.910968,5.729032,0.943238,-0.056762,-0.112029,-86.176003
baseline,baseline,0,1,18,28,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999673,-11.930000,-11.932210,17.441388,401.278547,387.832184,1,40.417637,41.837734,6.421535,-49.434910,299000000.000000,19500000.000000,39.911655,41.101006,6.337484,-48.948566,299000000.000000,19500000.000000,41.309544,41.488506,6.569692,-51.031597,299000000.000000,19500000.000000,1,0.987557,63.908848,-15.805968,5.509178,0.965941,-0.034059,-0.112029,-86.176003
baseline,baseline,0,1,19,29,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999152,-3.038750,-3.047324,8.278636,396.101112,375.209028,1,40.669144,41.263218,6.463313,-50.373016,299000000.000000,24375000.000000,39.828255,41.442398,6.323631,-50.033047,299000000.000000,24375000.000000,41.365875,41.361897,6.579049,-51.787025,299000000.000000,24375000.000000,1,0.978219,83.304771,-13.312633,5.231311,0.947053,-0.052947,-0.112029,-86.176003
baseline,baseline,0,1,20,30,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999251,2.886250,2.880476,2.596579,396.446211,373.303253,1,39.991222,40.774303,6.350702,-50.935169,299000000.000000,19500000.000000,39.785473,40.523479,6.316524,-52.234859,299000000.000000,19500000.000000,40.716923,40.666656,6.471250,-54.274811,299000000.000000,19500000.000000,1,0.974529,90.023209,-12.623002,5.477055,0.941626,-0.058374,-0.112029,-86.176003
baseline,baseline,0,1,21,31,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999589,-19.573750,-19.568967,23.123002,402.657522,384.289291,1,40.688358,42.150864,6.466505,-51.426575,299000000.000000,24375000.000000,40.249008,41.253670,6.393523,-51.396732,299000000.000000,24375000.000000,41.795185,41.736328,6.650363,-54.624992,299000000.000000,24375000.000000,1,0.982254,76.378487,-14.228370,3.554034,0.953780,-0.046220,-0.112029,-86.176003
baseline,baseline,0,1,22,32,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999663,-8.143750,-8.153359,13.978395,404.025630,380.875387,1,40.203026,41.448376,6.385885,-50.800293,299000000.000000,19500000.000000,39.001003,40.596008,6.186213,-49.519150,299000000.000000,19500000.000000,40.465446,41.000938,6.429476,-52.867374,299000000.000000,19500000.000000,1,0.975498,90.068130,-12.784361,5.825036,0.942258,-0.057742,-0.112029,-86.176003
baseline,baseline,0,1,23,33,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999365,-13.665000,-13.659373,18.217285,398.063492,375.477539,1,40.001106,41.088985,6.352344,-49.819481,299000000.000000,26000000.000000,39.936874,41.029884,6.341674,-47.474831,299000000.000000,24375000.000000,41.061352,41.107841,6.528464,-50.725151,299000000.000000,24375000.000000,1,0.975008,89.431320,-12.715449,4.557912,0.942705,-0.057295,-0.112029,-86.176003
baseline,baseline,0,1,24,34,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999902,-6.296250,-6.295787,10.675015,412.279456,391.672372,1,39.916401,42.683983,6.338273,-49.868034,299000000.000000,19500000.000000,40.132656,41.121086,6.374196,-48.985802,299000000.000000,19500000.000000,41.232403,41.894966,6.556878,-51.543301,299000000.000000,19500000.000000,1,0.980514,82.085411,-13.799470,4.379228,0.949775,-0.050225,-0.112029,-86.176003
baseline,baseline,0,1,25,35,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999791,-10.956250,-10.969492,16.055279,408.326320,383.536724,1,40.380646,42.016193,6.415390,-50.681999,299000000.000000,26000000.000000,40.325459,41.230289,6.406223,-50.266178,299000000.000000,22750000.000000,41.450687,41.595406,6.593138,-52.310505,299000000.000000,24375000.000000,1,0.972167,96.730026,-12.240194,5.085787,0.938805,-0.061195,-0.112029,-86.176003
baseline,baseline,0,1,26,36,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.998896,-4.160000,-4.169031,9.525261,392.365327,367.895694,1,40.281872,40.816376,6.398983,-52.846386,299000000.000000,22750000.000000,39.265182,40.218090,6.230097,-51.066429,299000000.000000,22750000.000000,40.726025,40.636654,6.472762,-53.896915,299000000.000000,22750000.000000,1,0.970530,95.588371,-11.993426,5.356230,0.937374,-0.062626,-0.112029,-86.176003
baseline,baseline,0,1,27,37,1,none,1300000000.000000,2600000000.000000,1.000000,0,0,0.000000,1.000000,nan,1.000000,0.999372,0.595000,0.602250,5.667942,399.269331,379.161039,1,40.598396,41.820335,6.451561,-50.413433,299000000.000000,24375000.000000,40.145077,42.041405,6.376259,-50.755211,299000000.000000,24375000.000000,41.602116,41.948917,6.618292,-55.389610,299000000.000000,24375000.000000,1,0.980149,80.343788,-13.707181,6.270192,0.949532,-0.050468,-0.112029,-86.176003
